omen,link,place,nature
A frog coming to the door is a sign of marriage in the family.,https://www.duchas.ie/en/cbe/9002840/7051671/9097825,Mayo,good
It is also a sign of death to see a frog in a house.,https://www.duchas.ie/en/cbes/4658424/4654038/4660785,Leitrim,bad
When a frog came into the kitchen it would be the sign of good luck.,https://www.duchas.ie/en/cbes/4922272/4866265/5190948,Tipperary,good
When a frog comes in the door it is a sign of death in the house.,https://www.duchas.ie/en/cbes/4427928/4358278/4454729,Mayo,bad
A frog coming into a house is a sure sign of death.,https://www.duchas.ie/en/cbes/4493805/4422520,Donegal,bad
They say if a frog came into a house it is a sure sign of death.,https://www.duchas.ie/en/cbes/4811614/4802158/4948560,Cork,bad
The people here regard the frog as a blessed creature and when he comes into the house it is regarded as a certain sign that somebody in the house or a relative is to die in a short time.,https://www.duchas.ie/en/cbes/4921728/4894111/5187730,Cork,bad
When a frog enters a house 'tis a sign of a death.,https://www.duchas.ie/en/cbes/5009008/4976601/5120829,Meath,bad
If a frog comes into a house it's a sign of a death.,https://www.duchas.ie/en/cbes/5009212/4998388/5105466,Longford,bad
For a frog to enter a house at night is a sign of an approaching death.,https://www.duchas.ie/en/cbes/5070765/5060683/5093652,Cavan,bad
"One night as we were all saying the Rosary, a frog came in and tried to hop on to a chair. Next day we got a cablegram saying that my aunt in America was dead.",https://www.duchas.ie/en/cbes/4427866/4351924/4435347,Mayo,bad
If a frog comes into a house it is a sign of a death.,https://www.duchas.ie/en/cbes/4701679/4692134/4725870,Sligo,bad
A frog as a visitor is a sign of coming evil.,https://www.duchas.ie/en/cbes/4658447/4656561/4659745,Leitrim,bad
They also say if a frog comes in the house at night time it is the sign of death.,https://www.duchas.ie/en/cbes/4811614/4802126/4948509,Cork,bad
"If a frog enters the house any time during the year except in the harvest, it foreshadows a death.",https://www.duchas.ie/en/cbes/4493806/4422716/4539860,Donegal,bad
If a frog or robin came in someone would die in the house,https://www.duchas.ie/en/cbes/4921594/4882732/5147509,Cork,bad
Should a frog cross your path when a person in the house is sick it is a sure sign of death.,https://www.duchas.ie/en/cbes/4613720/4612524/4649881,Kerry,bad
If a frog comes into a house. It is a sign of a near friend's death.,https://www.duchas.ie/en/cbes/4921934/4911168/4932155,Limerick,bad
If a frog hops into a dwelling house it is the sign of a death.,https://www.duchas.ie/en/cbes/5044789/5038350/5082874,Cavan,bad
If a frog comes into the house is the sign of a death.,https://www.duchas.ie/en/cbes/4701706/4694574/4770217,Sligo,bad
"If a frog comes in on a wet day, it is the sign of good-luck.",https://www.duchas.ie/en/cbes/5162119/5155724/5196513,Tipperary,good
It is a sign of bad luck if a frog comes into the house.,https://www.duchas.ie/en/cbes/4922298/4868163/5019845,Tipperary,bad
Frog entering house means a death in that house.,https://www.duchas.ie/en/cbes/5008850/4961025/5076581,Louth,bad
